Job,Company,Location,Publication date,Company's rate
Commercial junior [stage],Nouvel'R Énergie,La Rochelle (17),2,Not specified
Prévisionniste/data analyst,Not specified,France,2,Not specified
Data analyst h/f - maroc,Not specified,France,2,Not specified
Data analyst,Maif,Niort (79),2,"['3,5']"
Data analyst f/h - etudes socio-économiques,Not specified,"Menway Talents
 - 59 - Nord",2,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Business analyst si maintenance industrielle,Servier,Bolbec (76),2,"['3,8']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
International business developer - europe (f/m,Qos Energy,Nantes (44),2,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Data analyst,Jacadi,Paris (75),2,"['3,4']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Data analyst en alternance,Not specified,"Orange Caraïbe
 - 971 - Guadeloupe",2,Not specified
Data project officer,Noz,Laval (53),2,"['2,8']"
Data analyst f/h - etudes socio-économiques,Not specified,"Mutuelle D'Assurance Des Institueurs De France
 - 79 - Sèvres (Deux)",2,Not specified
Data analyst,Not specified,France,3,Not specified
Business data analyst,Not specified,92 - Meudon,3,Not specified
Data analyst,Not specified,13 - Aix En Provence,3,Not specified
Data analyst / data steward,Not specified,75 - Paris (Dept.),3,Not specified
Appui à la performance (data analyst,Not specified,"Page Personnel
 - 973 - Cayenne",3,Not specified
Data analyst / data steward,Not specified,75 - Paris (Dept.),3,Not specified
Alternance analyste metier,Crédit Mutuel,Strasbourg (67),3,"['4,0']"
Offre d'emploi en cdi à nancy (59) : data analyst/data scientist,Not specified,"Acass
 - 54 - Nancy",3,Not specified
Data analyst marketing,Not specified,33 - Bordeaux,3,Not specified
Business analyst / moa data f/h - maîtrise d'ouvrage et fonctionnel,Not specified,"Sync-Digitals
 - 92 - Hauts De Seine",3,Not specified
Data analyst / data manager (h/f) (dxqp556,Not specified,67 - Bischheim,3,Not specified
Data analyst- auditeur - inspecteur,Not specified,France,3,Not specified
Marketing data analyst,Not specified,42 - Andrezieux Boutheon,3,Not specified
"Business analyst, consultant amoa",It-Development Sas,La Tour-de-Salvagny (69),4,"['5,0']"
Data scientist / data analyst,Siderlog,Nantes (44),4,Not specified
Data scientist / data analyst,Siderlog,Nantes (44),4,Not specified
Études et prospectives socio-économiques,Not specified,59 - Nord,4,Not specified
Apprentice,Iqvia,Courbevoie (92),4,"['3,8']"
Analyste concepteur de test squash jira / freelance,Freelance Vision,Niort (79),4,Not specified
Apprentice,Iqvia,Courbevoie (92),4,"['3,8']"
Data analyst,Not specified,92 - Montrouge,4,Not specified
Data analyst,Not specified,92 - Montrouge,4,Not specified
Business analyst data,Not specified,75 - Paris (Dept.),4,Not specified
Analyste quantitatif market risk modelling,Natixis,Paris (75),4,"['4,0']"
Apprenti-e business analyst hp,Hp,Grenoble (38),4,"['4,0']"
Data engineer,Shippeo,Paris 10e (75),5,Not specified
Cash management it business analyst data warehouse,Avista,Montrouge (92),5,Not specified
Data analyst security level 3,It Services Co.,Paris (75),5,Not specified
Data analyst senior,Not specified,"Citech C&Apos
 - 92 - Puteaux",5,Not specified
Analyste résultats facturation et support clients,Natixis,Charenton-le-Pont (94),5,"['3,5']"
Ingénieur système analyste de données (data scientist,Carmat,France,5,"['3,5']"
Cash management it business analyst data warehouse,Not specified,92 - Montrouge,5,Not specified
Customer care operations manager,Back Market,Bordeaux (33),5,"['4,5']"
Alternance - marketing analyst & communication - master 1/2...,Schneider Electric,France,5,"['3,9']"
Operations analyst,Lydia App,Paris (75),5,Not specified
Revenue analyst,Doctolib,Paris (75),5,"['4,0']"
Alternance - marketing analyst & communication - master 1/2...,Schneider Electric,France,5,"['3,9']"
Business analyst finance data / freelance,We +,Paris (75),5,Not specified
Its service owner chromatography data system m,Sanofi,Lyon (69),5,"['4,1']"
Consultant data viz niveau iii,Tafinar,Saint-Jean-de-Braye (45),5,Not specified
Business analyst finance data / freelance,We +,Paris (75),5,Not specified
Ingénieur système analyste de données (data scientist,Carmat,France,5,"['3,5']"
Data analyst-finances,Total,Hauts-de-Seine,5,"['4,0']"
Data engineer,Shippeo,Paris 10e (75),5,Not specified
Revenue analyst,Doctolib,Paris (75),5,"['4,0']"
Axance - digital analyst h/f - id,Devoteam,Paris (75),5,"['3,8']"
Business analyst / moa finance f/h (fim,Devoteam,Levallois-Perret (92),5,"['3,8']"
