CommonName,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
Small_toothed_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97
Daraina_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
Mittermeier_s_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86
Weasel_Sportive_Lemur,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ambodimahabibo_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938
Petter_s_Sportive_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
Bemaraha_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79
Red_tailed_Sportive_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Sahamalaza_Sportive_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
Masoala_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
Seal_s_Sportive_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
Sahafary_Sportive_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675
Nosy_Be_Sportive_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
Wright_s_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82
Gray_cheeked_Mangabey,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95
Northern_Black_Crested_Mangabey,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
Johnston_s_Mangabey,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58
Southern_Back_Crested_Mangabey,DD,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.8
Rusty_mantled_Mangabey,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58
Ugandan_Crested_Mangabey,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
Gray_Slender_Loris,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Red_Slender_Loris,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
Stump_tailed_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3
Assamese_Macaque,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Taiwanese_Macaque,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47
Long_tailed_Macaque,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.03
Japanese_Macaque,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
Heck_s_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Northern_Pig_tailed_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
White_cheeked_Macaque,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Moor_Macaque,EN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.88
Rhesus_Macaque,LC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.96
Arunachal_Macaque,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Sunda_Pig_tailed_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89
Crested_Macaque,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68
Gorontalo_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65
Booted_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95
Pagai_Macaque,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38
Bonnet_Macaque,LC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.14
Siberut_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38
Lion_tailed_Macaque,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Toque_Macaque,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48
Barbary_Macaque,EN,1.0,0.0,1.0,0.0,0.0,1.0,0.0,13.5
Tibetan_Macaque,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55
Tonkean_Macaque,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95
Drill,EN,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0
Mandrill,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6
Rio_AcarÃ­_Marmoset,LC,,,,,,,,0.42
Silvery_Marmoset,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35
Golden_white_Tassel_ear_Marmoset,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295
Snethlage_s_Marmoset,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32
SantarÃ©m_Marmoset,DD,,,,,,,,0.42
Rio_AripuanÃ£_Marmoset,LC,,,,,,,,0.3
Golden_white_Bare_ear_Marmoset,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Marca_s_Marmoset,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
MauÃ©s_Marmoset,LC,,,,,,,,0.37
