,Family,Genus,CommonName,Locomotion
361,Galagidae,Paragalago,Mountain_Dwarf_Galago,
362,Galagidae,Paragalago,Rondo_Dwarf_Galago,
363,Galagidae,Paragalago,Tanzania_Coast_Dwarf_Galago,
364,Lorisidae,Perodicticus,Milne_Edwards_s_Potto,AR
365,Lorisidae,Perodicticus,East_African_Potto,AR
366,Lorisidae,Perodicticus,West_African_Potto,AR
367,Cheirogaleidae,Phaner,Montagne_D__Ambre_Fork_marked_Lemur,AR
368,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,AR
369,Cheirogaleidae,Phaner,Pale_Fork_marked_Lemur,AR
370,Cheirogaleidae,Phaner,Sambirano_Fork_marked_Lemur,AR
371,Cercopithecidae,Piliocolobus,Upper_Guinea_Red_Colobus,AR
372,Cercopithecidae,Piliocolobus,Bouvier_s_Red_Colobus,AR
373,Cercopithecidae,Piliocolobus,Niger_Delta_Red_Colobus,AR
374,Cercopithecidae,Piliocolobus,Foa_s_Red_Colobus,AR
375,Cercopithecidae,Piliocolobus,Udzungwa_Red_Colobus,AR
376,Cercopithecidae,Piliocolobus,Zanzibar_Red_Colobus,AR
377,Cercopithecidae,Piliocolobus,Lang_s_Red_Colobus,AR
378,Cercopithecidae,Piliocolobus,,
379,Cercopithecidae,Piliocolobus,Oustalet_s_Red_Colobus,AR
380,Cercopithecidae,Piliocolobus,Lomami_Red_Colobus,AR
381,Cercopithecidae,Piliocolobus,Pennant_s_Red_Colobus,AR
382,Cercopithecidae,Piliocolobus,Preuss_s_Red_Colobus,AR
383,Cercopithecidae,Piliocolobus,Tana_River_Red_Colobus,AR
384,Cercopithecidae,Piliocolobus,Semliki_Red_Colobus,AR
385,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,AR
386,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,BOTH
387,Cercopithecidae,Piliocolobus,Ashy_Red_Colobus,AR
388,Cercopithecidae,Piliocolobus,Tshuapa_Red_Colobus,AR
389,Cercopithecidae,Piliocolobus,Miss_Waldron_s_Red_Colobus,AR
390,Pitheciidae,Pithecia,Equatorial_Saki,AR
391,Pitheciidae,Pithecia,Buffy_Saki,AR
392,Pitheciidae,Pithecia,Cazuza_s_Saki,AR
393,Pitheciidae,Pithecia,Golden_faced_Saki,AR
394,Pitheciidae,Pithecia,Hairy_Saki,AR
395,Pitheciidae,Pithecia,Burnished_Saki,AR
396,Pitheciidae,Pithecia,Gray_s_Bald_faced_Saki,AR
397,Pitheciidae,Pithecia,Isabel_s_Saki,AR
398,Pitheciidae,Pithecia,Miller_s_Saki,AR
399,Pitheciidae,Pithecia,Mittermeier_s_Tapajós_Saki,AR
400,Pitheciidae,Pithecia,Monk_Saki,AR
401,Pitheciidae,Pithecia,Napo_Saki,AR
402,Pitheciidae,Pithecia,Pissinatti_s_Bald_faced_Saki,AR
403,Pitheciidae,Pithecia,White_faced_saki,AR
404,Pitheciidae,Pithecia,Rylands__Bald_faced_Saki,AR
405,Pitheciidae,Pithecia,Vanzolinis_Bald_faced_Saki,AR
406,Pitheciidae,Plecturocebus,Madidi_Titi,AR
407,Pitheciidae,Plecturocebus,Lake_Baptista_Titi,AR
408,Pitheciidae,Plecturocebus,Prince_Bernhard_s_Titi,AR
409,Pitheciidae,Plecturocebus,Brown_Titi,AR
410,Pitheciidae,Plecturocebus,Chestnut_bellied_Titi,AR
411,Pitheciidae,Plecturocebus,Caquetá_Titi,AR
412,Pitheciidae,Plecturocebus,Ashy_Titi,AR
413,Pitheciidae,Plecturocebus,Coppery_Titi,AR
414,Pitheciidae,Plecturocebus,Red_crowned_Titi,AR
415,Pitheciidae,Plecturocebus,White_eared_Titi,AR
416,Pitheciidae,Plecturocebus,Hoffmann_s_Titi,AR
417,Pitheciidae,Plecturocebus,Milton´s_titi_monkey,AR
418,Pitheciidae,Plecturocebus,Rio_Beni_Titi,AR
419,Pitheciidae,Plecturocebus,Red_bellied_Titi,AR
420,Pitheciidae,Plecturocebus,San_Martín_Titi,AR
421,Pitheciidae,Plecturocebus,Olalla_s_Titi,AR
422,Pitheciidae,Plecturocebus,Ornate_Titi,AR
423,Pitheciidae,Plecturocebus,Pale_Titi,AR
424,Pitheciidae,Plecturocebus,Stephen_Nash_s_Titi,AR
425,Pitheciidae,Plecturocebus,Toppins_Titi,AR
426,Pitheciidae,Plecturocebus,Urubamba_Brown_Titi,AR
427,Pitheciidae,Plecturocebus,Vieira_s_Titi,AR
428,Hominidae,Pongo,Sumatran_Orangutan,AR
429,Hominidae,Pongo,Bornean_Orangutan,AR
430,Hominidae,Pongo,Tapanuli_Orangutan,
431,Cercopithecidae,Presbytis,Black_and_white_Langur,AR
432,Cercopithecidae,Presbytis,Miller_s_Langur,AR
433,Cercopithecidae,Presbytis,Cross_marked_Langur,AR
434,Cercopithecidae,Presbytis,Javan_Langur,AR
435,Cercopithecidae,Presbytis,Banded_Langur,AR
436,Cercopithecidae,Presbytis,White_fronted_Langur,AR
437,Cercopithecidae,Presbytis,Hose_s_Langur,AR
438,Cercopithecidae,Presbytis,Black_crested_Sumatran_Langur,AR
439,Cercopithecidae,Presbytis,Mitered_Langur,AR
440,Cercopithecidae,Presbytis,Natuna_Islands_Langur,AR
441,Cercopithecidae,Presbytis,Mentawai_Langur,AR
442,Cercopithecidae,Presbytis,Maroon_Langur,AR
443,Cercopithecidae,Presbytis,Sabah_Grizzled_Langur,AR
444,Cercopithecidae,Presbytis,Pale_thighed_Langur,AR
445,Cercopithecidae,Presbytis,Siberut_Langur,AR
446,Cercopithecidae,Presbytis,Black_Sumatran_Langur,AR
447,Cercopithecidae,Presbytis,Thomas_s_Langur,AR
448,Cercopithecidae,Procolobus,Olive_Colobus,AR
449,Lemuridae,Prolemur,Greater_Bamboo_Lemur,AR
450,Indriidae,Propithecus,Silky_Sifaka,AR
451,Indriidae,Propithecus,Coquerel_s_Sifaka,AR
452,Indriidae,Propithecus,Crowned_Sifaka,AR
453,Indriidae,Propithecus,Decken_s_Sifaka,AR
454,Indriidae,Propithecus,Diademed_Sifaka,AR
455,Indriidae,Propithecus,Milne_Edwards_s_Sifaka,AR
456,Indriidae,Propithecus,Perrier_s_Sifaka,AR
457,Indriidae,Propithecus,Tattersall_s_Sifaka,AR
458,Indriidae,Propithecus,Verreaux_s_Sifaka,AR
459,Cercopithecidae,Pygathrix,Grey_shanked_Douc,AR
460,Cercopithecidae,Pygathrix,Red_shanked_Douc,AR
461,Cercopithecidae,Pygathrix,Black_shanked_Douc,AR
462,Cercopithecidae,Rhinopithecus,Tonkin_Snub_nosed_Monkey,AR
463,Cercopithecidae,Rhinopithecus,Yunnan_Snub_nosed_Monkey,BOTH
464,Cercopithecidae,Rhinopithecus,Yunnan_Snub_nosed_Monkey,BOTH
465,Cercopithecidae,Rhinopithecus,Guizhou_Snub_nosed_Monkey,BOTH
466,Cercopithecidae,Rhinopithecus,Golden_Snub_nosed_Monkey,BOTH
467,Cercopithecidae,Rhinopithecus,Stryker_s_Snub_nosed_Monkey,BOTH
468,Cercopithecidae,Rungwecebus,Kipunji,AR
469,Callitrichidae,Saguinus,Pied_Tamarin,AR
470,Callitrichidae,Saguinus,Geoffroy_s_Tamarin,AR
471,Callitrichidae,Saguinus,Emperor_Tamarin,AR
472,Callitrichidae,Saguinus,Mottled_face_Tamarin,AR
473,Callitrichidae,Saguinus,Red_bellied_Tamarin,AR
474,Callitrichidae,Saguinus,White_footed_Tamarin,AR
475,Callitrichidae,Saguinus,Martin_s_Bare_faced_Tamarin,AR
476,Callitrichidae,Saguinus,Midas_Tamarin,AR
477,Callitrichidae,Saguinus,Mustached_Tamarin,AR
478,Callitrichidae,Saguinus,Western_Black_handed_Tamarin,AR
479,Callitrichidae,Saguinus,Cotton_top_Tamarin,AR
480,Callitrichidae,Saguinus,Eastern_Black_handed_Tamarin,AR
481,Cebidae,Saimiri,Black_capped_Squirrel_Monkey,AR
482,Cebidae,Saimiri,Humboldt_s_Squirrel_Monkey,AR
483,Cebidae,Saimiri,Collins'_Squirrel_Monkey,
484,Cebidae,Saimiri,Ecuadorian_Squirrel_Monkey,AR
485,Cebidae,Saimiri,Central_American_Squirrel_Monkey,AR
486,Cebidae,Saimiri,Guianan_Squirrel_Monkey,AR
487,Cebidae,Saimiri,Golden_backed_Squirrel_Monkey,AR
488,Cebidae,Saimiri,Black_headed_Squirrel_Monkey,AR
489,Cebidae,Sapajus,Guianan_Brown_Capuchin,AR
490,Cebidae,Sapajus,Hooded_Capuchin,AR
491,Cebidae,Sapajus,Blond_Capuchin,AR
492,Cebidae,Sapajus,Bearded_Capuchin,AR
493,Cebidae,Sapajus,Large_headed_Capuchin,AR
494,Cebidae,Sapajus,Black_horned_Capuchin,AR
495,Cebidae,Sapajus,Crested_Capuchin,AR
496,Cebidae,Sapajus,Yellow_breasted_Capuchin,AR
497,Galagidae,Sciurocheirus,Bioko_Squirrel_Galago,AR
498,Galagidae,Sciurocheirus,Cross_River_Squirrel_Galago,AR
499,Galagidae,Sciurocheirus,Gabon_Squirrel_Galago,AR
500,Galagidae,Sciurocheirus,Makandé_squirrel_galago,AR
501,Cercopithecidae,Semnopithecus,Chamba_Sacred_Langur,T
502,Cercopithecidae,Semnopithecus,Chamba_Sacred_Langur,AR
