,Family,Genus,CommonName,Average_Weight
377,Cheirogaleidae,Microcebus,Margot_Marsh_s_Mouse_Lemur,0.04
378,Cheirogaleidae,Microcebus,Marohita_Mouse_Lemur,0.06
379,Cheirogaleidae,Microcebus,Mittermeier_s_Mouse_Lemur,0.04
380,Cheirogaleidae,Microcebus,Gray_Mouse_Lemur,0.06
381,Cheirogaleidae,Microcebus,Peters_s_Mouse_Lemur,0.03
382,Cheirogaleidae,Microcebus,Peters_s_Mouse_Lemur,0.05
383,Cheirogaleidae,Microcebus,Golden_brown_Mouse_Lemur,0.05
384,Cheirogaleidae,Microcebus,Golden_brown_Mouse_Lemur,0.06
385,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,0.04
386,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,0.04
387,Cheirogaleidae,Microcebus,Sambirano_Mouse_Lemur,0.04
388,Cheirogaleidae,Microcebus,Simmons_s_Mouse_Lemur,0.0765
389,Cheirogaleidae,Microcebus,Simmons_s_Mouse_Lemur,0.06
390,Cheirogaleidae,Microcebus,Anosi_Mouse_lemur,0.05
391,Cheirogaleidae,Microcebus,Tavaratra_Mouse_Lemur,0.06
392,Cheirogaleidae,Microcebus,Tavaratra_Mouse_Lemur,0.05
393,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,1.25
394,Cercopithecidae,Miopithecus,Southern_Talapoin_Monkey,1.25
395,Cheirogaleidae,Mirza,Coquerel_s_Giant_Mouse_Lemur,0.31
396,Cheirogaleidae,Mirza,Coquerel_s_Giant_Mouse_Lemur,0.31
397,Cheirogaleidae,Mirza,Northern_Giant_Mouse_Lemur,0.29
398,Cercopithecidae,Nasalis,Proboscis_Monkey,15.75
399,Hylobatidae,Nomascus,Northern_Yellow_cheeked_Crested_Gibbon,7.0
400,Hylobatidae,Nomascus,Western_Black_Crested_Gibbon,7.69
401,Hylobatidae,Nomascus,Southern_Yellow_cheeked_Crested_Gibbon,5.2
402,Hylobatidae,Nomascus,Hainan_Crested_Gibbon,6.59
403,Hylobatidae,Nomascus,Northern_White_cheeked_Crested_Gibbon,6.5
404,Hylobatidae,Nomascus,Eastern_Black_Crested_Gibbon,
405,Hylobatidae,Nomascus,Southern_White_cheeked_Crested_Gibbon,7.25
406,Hylobatidae,Nomascus,Southern_White_cheeked_Crested_Gibbon,7.87
407,Lorisidae,Nycticebus,Bangka_Slow_Loris,
408,Lorisidae,Nycticebus,Bengal_Slow_Loris,1.26
409,Lorisidae,Nycticebus,Bornean_Slow_Loris,0.47
410,Lorisidae,Nycticebus,Sunda_Slow_Loris,0.65
411,Lorisidae,Nycticebus,Javan_Slow_Loris,0.66
412,Lorisidae,Nycticebus,Javan_Slow_Loris,0.8
413,Lorisidae,Nycticebus,Kayan_River_Slow_Loris,0.6
414,Lorisidae,Nycticebus,Philippine_Slow_Loris,0.285
415,Lorisidae,Nycticebus,Pygmy_Slow_Loris,0.42
416,Galagidae,Otolemur,Thick_tailed_Greater_Galago,1.15
417,Galagidae,Otolemur,Garnett_s_Greater_Galago,0.76
418,Hominidae,Pan,Bonobo,39.1
419,Hominidae,Pan,Chimpanzee,53.7
420,Cercopithecidae,Papio,Olive_Baboon,16.65
421,Cercopithecidae,Papio,Yellow_Baboon,17.05
422,Cercopithecidae,Papio,Hamadryas_Baboon,13.4
423,Cercopithecidae,Papio,Kinda_Baboon,13.0
424,Cercopithecidae,Papio,Guinea_Baboon,17.5
425,Cercopithecidae,Papio,Chacma_Baboon,22.3
426,Galagidae,Paragalago,Kenya_Coast_Dwarf_Galago,
427,Galagidae,Paragalago,Mozambique_Dwarf_Galago,
428,Galagidae,Paragalago,Mountain_Dwarf_Galago,
429,Galagidae,Paragalago,Rondo_Dwarf_Galago,
430,Galagidae,Paragalago,Tanzania_Coast_Dwarf_Galago,
431,Lorisidae,Perodicticus,Milne_Edwards_s_Potto,1.19
432,Lorisidae,Perodicticus,East_African_Potto,0.861
433,Lorisidae,Perodicticus,West_African_Potto,0.83
434,Cheirogaleidae,Phaner,Montagne_D__Ambre_Fork_marked_Lemur,0.39
435,Cheirogaleidae,Phaner,Montagne_D__Ambre_Fork_marked_Lemur,0.387
436,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,0.34
437,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,0.4
438,Cheirogaleidae,Phaner,Pale_Fork_marked_Lemur,0.34
439,Cheirogaleidae,Phaner,Sambirano_Fork_marked_Lemur,0.36
440,Cercopithecidae,Piliocolobus,Upper_Guinea_Red_Colobus,8.25
441,Cercopithecidae,Piliocolobus,Bouvier_s_Red_Colobus,
442,Cercopithecidae,Piliocolobus,Niger_Delta_Red_Colobus,
443,Cercopithecidae,Piliocolobus,Foa_s_Red_Colobus,9.5
444,Cercopithecidae,Piliocolobus,Udzungwa_Red_Colobus,7.05
445,Cercopithecidae,Piliocolobus,Zanzibar_Red_Colobus,6.9
446,Cercopithecidae,Piliocolobus,Lang_s_Red_Colobus,6.59
447,Cercopithecidae,Piliocolobus,,
448,Cercopithecidae,Piliocolobus,Oustalet_s_Red_Colobus,10.35
449,Cercopithecidae,Piliocolobus,Lomami_Red_Colobus,8.3
450,Cercopithecidae,Piliocolobus,Pennant_s_Red_Colobus,7.4
451,Cercopithecidae,Piliocolobus,Preuss_s_Red_Colobus,8.3
452,Cercopithecidae,Piliocolobus,Tana_River_Red_Colobus,9.0
453,Cercopithecidae,Piliocolobus,Semliki_Red_Colobus,
454,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,5.85
455,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,6.5
456,Cercopithecidae,Piliocolobus,Ashy_Red_Colobus,8.75
457,Cercopithecidae,Piliocolobus,Tshuapa_Red_Colobus,
458,Cercopithecidae,Piliocolobus,Miss_Waldron_s_Red_Colobus,5.9
459,Pitheciidae,Pithecia,Equatorial_Saki,2.25
460,Pitheciidae,Pithecia,Buffy_Saki,3.0
461,Pitheciidae,Pithecia,Cazuza_s_Saki,
462,Pitheciidae,Pithecia,Golden_faced_Saki,1.9
463,Pitheciidae,Pithecia,Hairy_Saki,
464,Pitheciidae,Pithecia,Burnished_Saki,
465,Pitheciidae,Pithecia,Gray_s_Bald_faced_Saki,2.16
466,Pitheciidae,Pithecia,Isabel_s_Saki,
467,Pitheciidae,Pithecia,Miller_s_Saki,
468,Pitheciidae,Pithecia,Mittermeier_s_Tapajós_Saki,
469,Pitheciidae,Pithecia,Monk_Saki,2.36
470,Pitheciidae,Pithecia,Napo_Saki,
471,Pitheciidae,Pithecia,Pissinatti_s_Bald_faced_Saki,
472,Pitheciidae,Pithecia,White_faced_saki,1.76
473,Pitheciidae,Pithecia,Rylands__Bald_faced_Saki,
474,Pitheciidae,Pithecia,Vanzolinis_Bald_faced_Saki,
475,Pitheciidae,Plecturocebus,Madidi_Titi,0.95
476,Pitheciidae,Plecturocebus,Lake_Baptista_Titi,1.16
477,Pitheciidae,Plecturocebus,Prince_Bernhard_s_Titi,0.95
478,Pitheciidae,Plecturocebus,Brown_Titi,0.83
479,Pitheciidae,Plecturocebus,Chestnut_bellied_Titi,1.0
480,Pitheciidae,Plecturocebus,Caquetá_Titi,
481,Pitheciidae,Plecturocebus,Ashy_Titi,0.74
482,Pitheciidae,Plecturocebus,Coppery_Titi,1.07
483,Pitheciidae,Plecturocebus,Red_crowned_Titi,1.01
484,Pitheciidae,Plecturocebus,White_eared_Titi,0.95
485,Pitheciidae,Plecturocebus,Hoffmann_s_Titi,1.06
486,Pitheciidae,Plecturocebus,Milton´s_titi_monkey,1.34
487,Pitheciidae,Plecturocebus,Rio_Beni_Titi,0.8
488,Pitheciidae,Plecturocebus,Red_bellied_Titi,0.99
489,Pitheciidae,Plecturocebus,San_Martín_Titi,0.8
490,Pitheciidae,Plecturocebus,Olalla_s_Titi,0.8
491,Pitheciidae,Plecturocebus,Ornate_Titi,1.17
492,Pitheciidae,Plecturocebus,Pale_Titi,0.8
493,Pitheciidae,Plecturocebus,Stephen_Nash_s_Titi,0.67
494,Pitheciidae,Plecturocebus,Toppins_Titi,
495,Pitheciidae,Plecturocebus,Urubamba_Brown_Titi,
496,Pitheciidae,Plecturocebus,Vieira_s_Titi,0.96
497,Hominidae,Pongo,Sumatran_Orangutan,56.75
498,Hominidae,Pongo,Bornean_Orangutan,57.15
499,Hominidae,Pongo,Tapanuli_Orangutan,
500,Cercopithecidae,Presbytis,Black_and_white_Langur,6.43
501,Cercopithecidae,Presbytis,Miller_s_Langur,6.125
502,Cercopithecidae,Presbytis,Cross_marked_Langur,7.05
503,Cercopithecidae,Presbytis,Javan_Langur,6.7
504,Cercopithecidae,Presbytis,Banded_Langur,6.22
505,Cercopithecidae,Presbytis,White_fronted_Langur,5.61
506,Cercopithecidae,Presbytis,Hose_s_Langur,5.9
507,Cercopithecidae,Presbytis,Black_crested_Sumatran_Langur,6.53
508,Cercopithecidae,Presbytis,Mitered_Langur,5.8
509,Cercopithecidae,Presbytis,Natuna_Islands_Langur,7.05
510,Cercopithecidae,Presbytis,Mentawai_Langur,6.27
511,Cercopithecidae,Presbytis,Maroon_Langur,6.13
512,Cercopithecidae,Presbytis,Sabah_Grizzled_Langur,5.9
513,Cercopithecidae,Presbytis,Pale_thighed_Langur,7.65
