,Family,Genus,CommonName,Territory (ha)
438,Cheirogaleidae,Microcebus,Bemanasy_Mouse_Lemur,
439,Cheirogaleidae,Microcebus,Margot_Marsh_s_Mouse_Lemur,
440,Cheirogaleidae,Microcebus,Marohita_Mouse_Lemur,
441,Cheirogaleidae,Microcebus,Mittermeier_s_Mouse_Lemur,
442,Cheirogaleidae,Microcebus,Gray_Mouse_Lemur,2.0
444,Cheirogaleidae,Microcebus,Peters_s_Mouse_Lemur,
445,Cheirogaleidae,Microcebus,Golden_brown_Mouse_Lemur,0.57
446,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,1.0
447,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,2.5
448,Cheirogaleidae,Microcebus,Sambirano_Mouse_Lemur,1.2
449,Cheirogaleidae,Microcebus,Simmons_s_Mouse_Lemur,
450,Cheirogaleidae,Microcebus,Anosi_Mouse_lemur,
451,Cheirogaleidae,Microcebus,Tavaratra_Mouse_Lemur,
452,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,300.0
453,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,125.0
454,Cercopithecidae,Miopithecus,Southern_Talapoin_Monkey,311.0
455,Cheirogaleidae,Mirza,Coquerel_s_Giant_Mouse_Lemur,3.0
458,Cercopithecidae,Nasalis,Proboscis_Monkey,516.0
460,Hylobatidae,Nomascus,Northern_Yellow_cheeked_Crested_Gibbon,50.0
461,Hylobatidae,Nomascus,Northern_Yellow_cheeked_Crested_Gibbon,127.0
462,Hylobatidae,Nomascus,Western_Black_Crested_Gibbon,87.0
463,Hylobatidae,Nomascus,Southern_Yellow_cheeked_Crested_Gibbon,51.86
464,Hylobatidae,Nomascus,Hainan_Crested_Gibbon,781.0
465,Hylobatidae,Nomascus,Northern_White_cheeked_Crested_Gibbon,158.0
468,Hylobatidae,Nomascus,Eastern_Black_Crested_Gibbon,130.3
469,Hylobatidae,Nomascus,Southern_White_cheeked_Crested_Gibbon,88.0
471,Lorisidae,Nycticebus,Bangka_Slow_Loris,
472,Lorisidae,Nycticebus,Bengal_Slow_Loris,15.6
473,Lorisidae,Nycticebus,Bornean_Slow_Loris,
474,Lorisidae,Nycticebus,Sunda_Slow_Loris,6.3
475,Lorisidae,Nycticebus,Javan_Slow_Loris,7.5
476,Lorisidae,Nycticebus,Kayan_River_Slow_Loris,
477,Lorisidae,Nycticebus,Philippine_Slow_Loris,4.76
478,Lorisidae,Nycticebus,Pygmy_Slow_Loris,9.0
480,Galagidae,Otolemur,Thick_tailed_Greater_Galago,8.5
481,Galagidae,Otolemur,Thick_tailed_Greater_Galago,8.5
482,Galagidae,Otolemur,Garnett_s_Greater_Galago,14.17
483,Hominidae,Pan,Bonobo,4000.0
484,Hominidae,Pan,Chimpanzee,1715.0
487,Cercopithecidae,Papio,Olive_Baboon,2260.0
490,Cercopithecidae,Papio,Yellow_Baboon,1654.0
492,Cercopithecidae,Papio,Hamadryas_Baboon,2800.0
493,Cercopithecidae,Papio,Hamadryas_Baboon,930.0
494,Cercopithecidae,Papio,Kinda_Baboon,
495,Cercopithecidae,Papio,Guinea_Baboon,3250.0
496,Cercopithecidae,Papio,Chacma_Baboon,500.0
497,Cercopithecidae,Papio,Chacma_Baboon,1916.59
498,Galagidae,Paragalago,Kenya_Coast_Dwarf_Galago,
499,Galagidae,Paragalago,Mozambique_Dwarf_Galago,
501,Galagidae,Paragalago,Rondo_Dwarf_Galago,
503,Lorisidae,Perodicticus,Milne_Edwards_s_Potto,84.0
505,Lorisidae,Perodicticus,East_African_Potto,
506,Lorisidae,Perodicticus,West_African_Potto,7.5
507,Cheirogaleidae,Phaner,Montagne_D__Ambre_Fork_marked_Lemur,
508,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,3.0
510,Cheirogaleidae,Phaner,Pale_Fork_marked_Lemur,6.5
511,Cheirogaleidae,Phaner,Sambirano_Fork_marked_Lemur,
512,Cercopithecidae,Piliocolobus,Upper_Guinea_Red_Colobus,58.0
513,Cercopithecidae,Piliocolobus,Upper_Guinea_Red_Colobus,100.0
514,Cercopithecidae,Piliocolobus,Bouvier_s_Red_Colobus,
515,Cercopithecidae,Piliocolobus,Niger_Delta_Red_Colobus,73.0
516,Cercopithecidae,Piliocolobus,Foa_s_Red_Colobus,
517,Cercopithecidae,Piliocolobus,Udzungwa_Red_Colobus,17.53
518,Cercopithecidae,Piliocolobus,Zanzibar_Red_Colobus,19.0
519,Cercopithecidae,Piliocolobus,Lang_s_Red_Colobus,
520,Cercopithecidae,Piliocolobus,,
521,Cercopithecidae,Piliocolobus,Oustalet_s_Red_Colobus,
522,Cercopithecidae,Piliocolobus,Lomami_Red_Colobus,
523,Cercopithecidae,Piliocolobus,Pennant_s_Red_Colobus,73.0
524,Cercopithecidae,Piliocolobus,Preuss_s_Red_Colobus,100.0
