;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
308;Maués_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
309;Black_tailed_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
310;Black_headed_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Brazil
311;Rondon_s_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
312;Sateré_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
313;Montagne_d_Ambre_Mouse_Lemur;;;;;;;;;;
314;Madame_Berthe_s_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
315;Bongolava_Mouse_Lemur;;;;;;;;;;
316; Nosy_Boraha_Mouse_Lemur;;;;;;;;;;
317;Ambarijeby_Mouse_Lemur;;;;;;;;;;
318;Ganzhorn's_Mouse_Lemur;;;;;;;;;;
319;Gerp_s_Mouse_Lemur;;;;;;;;;;
320;Gray_brown_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
321;Jolly_s_Mouse_Lemur;;;;;;;;;;
322;Goodman_s_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
323;Anjiahely_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
324;Nosy_Be_Mouse_Lemur;;;;;;;;;;
325;Bemanasy_Mouse_Lemur;;;;;;;;;;
326;Margot_Marsh_s_Mouse_Lemur;;;;;;;;;;
327;Marohita_Mouse_Lemur;;;;;;;;;;
328;Mittermeier_s_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
330;Gray_Mouse_Lemur;Gummivore;3.8;NI;NI;NI;21.2;75;NI;NI;Madagascar
331;Peters_s_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
332;Golden_brown_Mouse_Lemur;Omnivore;6;NI;NI;NI;30;32;NI;32;Madagascar
333;Rufous_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Madagascar
334;Sambirano_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
335;Simmons_s_Mouse_Lemur;;;;;;;;;;
336;Anosi_Mouse_lemur;;;;;;;;;;
337;Tavaratra_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
338;Northern_Talapoin_Monkey;Frugivore;60;rarely;NI;NI;NI;NI;NI;NI;NI
339;Southern_Talapoin_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
340;Coquerel_s_Giant_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
341;Northern_Giant_Mouse_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
342;Proboscis_Monkey;Folivore_frugivore;20;51.9;3;20.3;2;NI;NI;2.8;Indonesia
343;Northern_Yellow_cheeked_Crested_Gibbon;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
344;Western_Black_Crested_Gibbon;Folivore_frugivore;26;25;NI;NI;NI;NI;NI;49;NI
345;Southern_Yellow_cheeked_Crested_Gibbon;Frugivore;81.6;9.5;8.9;NI;NI;NI;NI;NI;NI
