,Family,Genus,CommonName,Diet
283,Cercopithecidae,Macaca,Rhesus_Macaque,Frugivore
284,Cercopithecidae,Macaca,Arunachal_Macaque,Folivore
285,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,Frugivore
286,Cercopithecidae,Macaca,Crested_Macaque,Frugivore
287,Cercopithecidae,Macaca,Gorontalo_Macaque,Frugivore
288,Cercopithecidae,Macaca,Booted_Macaque,Frugivore
289,Cercopithecidae,Macaca,Pagai_Macaque,Frugivore
290,Cercopithecidae,Macaca,Bonnet_Macaque,Frugivore
291,Cercopithecidae,Macaca,Siberut_Macaque,Frugivore
292,Cercopithecidae,Macaca,Lion_tailed_Macaque,Frugivore
293,Cercopithecidae,Macaca,Toque_Macaque,Frugivore
294,Cercopithecidae,Macaca,Barbary_Macaque,Omnivore
295,Cercopithecidae,Macaca,Tibetan_Macaque,Frugivore
296,Cercopithecidae,Macaca,Tonkean_Macaque,Frugivore
297,Cercopithecidae,Mandrillus,Drill,Omnivore
298,Cercopithecidae,Mandrillus,Mandrill,Omnivore
299,Callitrichidae,Mico,Rio_Acarí_Marmoset,Omnivore
300,Callitrichidae,Mico,Silvery_Marmoset,Omnivore
301,Callitrichidae,Mico,Golden_white_Tassel_ear_Marmoset,Omnivore
302,Callitrichidae,Mico,Snethlage_s_Marmoset,Omnivore
303,Callitrichidae,Mico,Santarém_Marmoset,Omnivore
304,Callitrichidae,Mico,Black-crowned_Dwarf_Marmoset,
305,Callitrichidae,Mico,Rio_Aripuanã_Marmoset,Omnivore
306,Callitrichidae,Mico,Golden_white_Bare_ear_Marmoset,Omnivore
307,Callitrichidae,Mico,Marca_s_Marmoset,
308,Callitrichidae,Mico,Maués_Marmoset,Omnivore
309,Callitrichidae,Mico,Black_tailed_Marmoset,Omnivore
310,Callitrichidae,Mico,Black_headed_Marmoset,Omnivore
311,Callitrichidae,Mico,Rondon_s_Marmoset,Omnivore
312,Callitrichidae,Mico,Sateré_Marmoset,Omnivore
313,Cheirogaleidae,Microcebus,Montagne_d_Ambre_Mouse_Lemur,
314,Cheirogaleidae,Microcebus,Madame_Berthe_s_Mouse_Lemur,Omnivore
315,Cheirogaleidae,Microcebus,Bongolava_Mouse_Lemur,
316,Cheirogaleidae,Microcebus, Nosy_Boraha_Mouse_Lemur,
317,Cheirogaleidae,Microcebus,Ambarijeby_Mouse_Lemur,
318,Cheirogaleidae,Microcebus,Ganzhorn's_Mouse_Lemur,
319,Cheirogaleidae,Microcebus,Gerp_s_Mouse_Lemur,
320,Cheirogaleidae,Microcebus,Gray_brown_Mouse_Lemur,Omnivore
321,Cheirogaleidae,Microcebus,Jolly_s_Mouse_Lemur,
322,Cheirogaleidae,Microcebus,Goodman_s_Mouse_Lemur,Omnivore
323,Cheirogaleidae,Microcebus,Anjiahely_Mouse_Lemur,Omnivore
324,Cheirogaleidae,Microcebus,Nosy_Be_Mouse_Lemur,
325,Cheirogaleidae,Microcebus,Bemanasy_Mouse_Lemur,
326,Cheirogaleidae,Microcebus,Margot_Marsh_s_Mouse_Lemur,
327,Cheirogaleidae,Microcebus,Marohita_Mouse_Lemur,
328,Cheirogaleidae,Microcebus,Mittermeier_s_Mouse_Lemur,Omnivore
329,Cheirogaleidae,Microcebus,Gray_Mouse_Lemur,Omnivore
330,Cheirogaleidae,Microcebus,Gray_Mouse_Lemur,Gummivore
331,Cheirogaleidae,Microcebus,Peters_s_Mouse_Lemur,Omnivore
332,Cheirogaleidae,Microcebus,Golden_brown_Mouse_Lemur,Omnivore
333,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,Omnivore
334,Cheirogaleidae,Microcebus,Sambirano_Mouse_Lemur,Omnivore
335,Cheirogaleidae,Microcebus,Simmons_s_Mouse_Lemur,
336,Cheirogaleidae,Microcebus,Anosi_Mouse_lemur,
337,Cheirogaleidae,Microcebus,Tavaratra_Mouse_Lemur,Omnivore
338,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,Frugivore
339,Cercopithecidae,Miopithecus,Southern_Talapoin_Monkey,Omnivore
340,Cheirogaleidae,Mirza,Coquerel_s_Giant_Mouse_Lemur,Omnivore
341,Cheirogaleidae,Mirza,Northern_Giant_Mouse_Lemur,Omnivore
342,Cercopithecidae,Nasalis,Proboscis_Monkey,Folivore_frugivore
343,Hylobatidae,Nomascus,Northern_Yellow_cheeked_Crested_Gibbon,Frugivore
344,Hylobatidae,Nomascus,Western_Black_Crested_Gibbon,Folivore_frugivore
345,Hylobatidae,Nomascus,Southern_Yellow_cheeked_Crested_Gibbon,Frugivore
346,Hylobatidae,Nomascus,Southern_Yellow_cheeked_Crested_Gibbon,Folivore_frugivore
347,Hylobatidae,Nomascus,Hainan_Crested_Gibbon,Frugivore
348,Hylobatidae,Nomascus,Northern_White_cheeked_Crested_Gibbon,Folivore_frugivore
349,Hylobatidae,Nomascus,Eastern_Black_Crested_Gibbon,Frugivore
350,Hylobatidae,Nomascus,Southern_White_cheeked_Crested_Gibbon,Frugivore
351,Lorisidae,Nycticebus,Bangka_Slow_Loris,
352,Lorisidae,Nycticebus,Bengal_Slow_Loris,Gummivore
353,Lorisidae,Nycticebus,Bornean_Slow_Loris,
